County,Acquisition of Non-financial Assets,"Communication, Supplies and Services",Compensation of Employees,Debt Repayment & Pending Bills,Fuel Oil and Lubricants,Hospitality Supplies and Services,Office and General Supplies and Services,Other Operating Expenses,"Printing , Advertising and Information Supplies and Services",Routine Maintenance,Total Expenditure,Training Expenses,Transportation Costs,Utilities Supplies and Services
Baringo,103.379842,2.446375,453.483473795,0,10.692132,19.673741,8.149563,51.020792,13.918722,19.312027,746.251217795,8.386862,47.106923,8.680765
Bomet,491.291647,6.872261,335.86901546,0,16.77411,14.012452,24.9313359,32.732928,10.362346,31.045565,1054.87024636,33.759919,42.842048,14.376619
Bungoma,48.57926,10.687863,319.864854208,36.921851,7.428321,3.204793,51.120263,162.622176,17.001079,16.157795,753.161921208,14.494621,59.500566,5.578479
Busia,20.137651,1.243338,308.559040327,0,4.224895,9.477566,19.573392,199.254124,8.836191,14.976841,692.491287327,16.865344,86.745844,2.597061
Elgeyo/ Marakwet,2.181047,0,273.115037332,0,3.804362,7.360365,3.159067,76.468352,8.979295,7.560569,412.100802332,6.823539,20.282299,2.36687
Embu,72.14725,2.051873,206.732592501,0,4.358754,22.323099,20.141801,57.893819,7.352066,15.513545,445.860542501,1.96762,33.301492,2.076631
Garissa,108.37179502,2.0583221,276.790304376,0,19.3814269,29.34667314,4.15920567,54.15203,9.79029837,7.15520125,579.043584386,9.959641,41.22088398,16.65780258
Homa Bay,118.829539,15.910924,526.368918738,0,8.301672,76.074662,3.95689,118.600556,25.495754,13.016911,1000.303683738,0.084,93.663857,0
Isiolo,26.140818,1.666964,134.283876672,0,12.229294,11.357831,0.279169,48.739567,3.428416,6.40607,271.164963672,1.78032,23.583114,1.269524
Kajiado,34.01442,5.871907,313.215314771,15,6.73932,9.88373,2.7365,45.036691,18.920889,5.521808,562.851583771,4.4158,96.608322,4.886882
Kakamega,312.307575,7.048544,758.93756492,0,7.051997,27.608133,3.901235,81.808879,33.588607,5.526516,1322.27144292,3.849129,76.419148,4.224115
Kericho,178.54569735,2.82001965,431.106829178,11.776452,13.9080036,16.06560981,2.847511,43.697337,8.107443706,13.52121619,789.764594354,2.486187,52.5870321,12.29525577
Kiambu,182.302634,9.39629858,1157.451877273,0,27.598766,20.478343,27.209881,144.972897,25.119209,10.834593,1765.244974553,9.343465,131.106453,19.4305577
Kilifi,152.62999,2.552046,570.509116581,0,6.981881,9.85988,12.616918,297.570508,11.433828,0.524587,1162.493994581,12.03167,77.085394,8.698176
Kirinyaga,72.294877,3.589068,223.791667078,0,4.720774,16.987062,2.036898,37.135642,6.303939,25.899836,435.800370078,12.99399,28.097488,1.949129
Kisii,204.056545,4.215365,604.023474453,0,5.914852,11.027395,6.908325,42.21923,9.924259,7.597415,993.494665453,10.107243,87.018387,0.482175
Kisumu,38.575622,0.082813,588.863896473,53.562288,16.071935,12.208187,10.137509,91.304945,11.476686,31.696724,903.667220473,19.354922,27.693574,2.638119
Kitui,131.49426645,13.2400498,636.610185207,0,10.369668,27.4208306,18.84124,34.1360068,20.7618446,10.0472901,980.404957657,9.285878,49.95960495,18.23809315
Kwale,19.666629,1.42872,136.475397725,0,8.444567,7.023706,10.690433,10.7496,6.456187,7.463808,444.169816525,40.10801,52.855359,142.8073998
Laikipia,58.938778,4.227946,396.279238608,11.412394,12.947295,10.340883,6.068716,0,11.433878,11.433963,634.733444608,6.48315,96.458487,8.708716
Lamu,16.8087794,0.005,76.475604819,11.071385,1.44781185,3.9713337,0.509005,36.580585,0.47314,6.49925157,169.924104859,1.4993,14.58290852,0
Machakos,536.362665,11.130793,483.881593277,0,22.404326,28.280101,71.384609,133.719022,29.097137,25.773194,1508.351473277,45.887376,114.606364,5.824293
Makueni,115.5810094,0.810897,182.749280148,0,4.671305,13.2934926,10.956931,81.680694,10.745216,15.75042548,556.623437138,9.02855415,104.04433736,7.311295
Mandera,0,4.5428,201.349046327,0,3.6388,21.28969795,1.97994,24.447158,5.67729,39.50438777,418.574616047,32.385332,68.566001,15.194163
Marsabit,145.910097,1.949263,229.328635522,0,19.868799,23.838749,31.501543,63.02702,7.021906,16.385445,581.749685522,0.851198,40.318359,1.748671
Meru,117.42783093,5.947858,360.88020893,0,12.755174,25.079351,12.579588,67.68541775,17.605793,15.732123,703.56763661,1.22393,65.467425,1.182937
Migori,102.88476792,6.871762,384.359102269,0,17.48218255,16.69306762,32.173483,27.11016557,17.090008,44.4910132,841.341929529,5.284342,107.3997534,79.502282
Mombasa,6.52,16.33423,1240.890281305,101.967743,29.64581819,74.217785,29.185834,1.643933,56.065678,69.754778,1780.729926495,15.362473,15.960805,123.180568
Murang'a,115.374871,8.23858525,300.512595109,0,4.965864,42.397818,14.014886,97.7429286,44.0006641,33.2693611,730.506297959,11.311685,53.087781,5.5892588
Nairobi City,1427.057718,0,4573.110423657,1806.471136,0,61.980896,0,534.711267,0,0,8450.791120657,26.714574,20.745106,0
Nakuru,39.507649,15.83241,918.379003528,0,11.755958,17.22724,111.70899,167.563484,22.612691,58.386002,1535.571029528,25.446465,91.296642,55.854495
Nandi,23.545895,1.93731,202.233574249,0,10.082487,20.860319,4.614935,77.122568,13.540105,25.459639,453.388354249,19.472865,53.529036,0.989621
Narok,352.227662,2.412684,693.273596735,47.219593,17.730939,19.312112,8.04124,187.807159,65.729538,9.855484,1529.045112735,7.80807,111.856118,5.770917
Nyamira,111.119176,20.2,151.866907948,0.112387,6.608671,5.871628,20.30088,0,18.200123,86.771568,482.953879948,15.025522,43.412881,3.464136
Nyandarua,93.773446,1.920961,221.599038375,0,8.474464,30.39206,0.374625,0,6.027568,12.80469,457.808980375,10.9485,70.372016,1.121612
Nyeri,166.881895,2.711828,255.46058019,51.455136,6.398537,26.143332,0,35.81049,14.789884,10.104106,664.84247519,6.605673,83.603696,4.877318
Samburu,157.247743,2.119553,151.934089624,0,9.877986,8.146708,10.750241,15.5577,5.356014,15.993086,437.596955624,3.908275,53.62357,3.08199
Siaya,91.741675,1.591,213.697706154,0,9.237609,9.914051,7.184049,73.407969,6.059129,0.93128,496.274108154,14.989843,43.793849,23.725948
Taita/Taveta,4.255931,0.256046,251.926225696,0,3.084261,2.570247,0.583572,24.562928,0.640695,0.790207,339.556780696,0.02,50.792538,0.07413
Tana River,117.440188,0.238,152.787511378,53.473583,8.324656,2.966385,0.215365,0,6.179251,0.24568,355.793821378,0.55374,13.184097,0.185365
Tharaka -Nithi,124.343191,1.317421,118.334188321,0,0.630178,17.179175,7.95283,28.90972539,4.9649588,5.72164859,397.186011971,14.284534,73.337481,0.21068087
Trans Nzoia,90.335188,3.431923,279.147947049,0,21.563113,5.028294,39.040708,124.136752,5.16606,93.087821,737.445760049,6.833612,68.428877,1.245465
Turkana,562.199113,4.956055,209.682521337,0,24.025977,9.671455,20.583678,240.981526,9.867832,8.28276,1204.736987337,19.774033,91.778658,2.933379
Uasin Gishu,53.193684,3.010425,429.255852716,0,0,28.186435,5.070389,27.647027,13.148783,41.903674,691.383939716,13.715252,65.62653,10.625888
Vihiga,80.126936,0.997831,146.609535067,0,4.618125,17.1679,12.559529,54.233536,6.562373,22.597324,424.478162067,16.05409,54.153251,8.797732
Wajir,181.0167,5.80505,315.918312896,0,8.785858,5.125445,4.332016,159.222176,5.273012,49.02323,775.289117896,2.30473,37.381948,1.10064
West Pokot,38.16195,2.008999,362.448753224,0,18.547531,8.61785,2.847183,8.0831457,3.9054,3.36312,491.674271224,20.382087,18.4595713,4.848681
